Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Ecuador,2,SACA,8.5, [6.6 - 11.7] , 8.50 ,9.2, [7.1 - 12.5] , 9.20 , 830.1 ," [639.2 - 1,136.2] ", 830.10 , 332.3 , [331.2 - 588.8] , 332.30 , 647.5 ," 1,185.1 "," 7,284.2 ", NO DATA ,0,NO DATA,Extrapolation,,
El Salvador,2,SACA,8.8, [6.7 - 12.0] , 8.80 ,9.2, [7.2 - 12.5] , 9.20 , 325.9 , [250.6 - 446.6] , 325.90 , 130.5 , [129.9 - 231.4] , 130.50 , 392.8 , 796.9 ," 2,930.4 ", NO DATA ,0,NO DATA,Extrapolation,,
French Guiana,2,SACA,9.2, [8.3 - 10.3] , 9.20 ,10.1, [9.0 - 11.2] , 10.10 , 13.9 , [12.5 - 15.4] , 13.90 , 5.6 , [6.5 - 8.0] , 5.60 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Guatemala,2,SACA,9.1, [5.4 - 13.5] , 9.10 ,11.1, [6.8 - 16.2] , 11.10 , 761.5 ," [450.0 - 1,130.6] ", 761.50 , 305.9 , [233.2 - 585.9] , 305.90 , 365.7 , 767.1 ," 8,043.7 ", NO DATA ,1,SELECTED,OGTT,,
Honduras,2,SACA,7.4, [5.6 - 10.3] , 7.40 ,9.2, [7.1 - 12.5] , 9.20 , 334.5 , [254.2 - 464.5] , 334.50 , 133.9 , [131.7 - 240.7] , 133.90 , 325.9 , 664.3 ," 2,276.6 ", NO DATA ,0,NO DATA,Extrapolation,,
Nicaragua,2,SACA,7.7, [5.9 - 10.6] , 7.70 ,9.2, [7.1 - 12.5] , 9.20 , 275.9 , [210.4 - 380.9] , 275.90 , 110.4 , [109.0 - 197.4] , 110.40 , 241.4 , 596.1 ," 2,423.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Panama,2,SACA,9.4, [8.3 - 10.6] , 9.40 ,9.8, [8.7 - 11.0] , 9.80 , 230.6 , [204.2 - 258.4] , 230.60 , 92.3 , [105.8 - 133.9] , 92.30 ," 1,102.6 "," 1,102.6 "," 1,546.6 ", NO DATA ,0,NO DATA,Extrapolation,,
Paraguay,2,SACA,8.4, [7.3 - 9.4] , 8.40 ,9.7, [8.5 - 10.9] , 9.70 , 324.1 , [284.1 - 365.7] , 324.10 , 129.7 , [147.2 - 189.5] , 129.70 , 574.6 ," 1,053.7 "," 3,089.5 ", 0.1 ,0,NO DATA,Extrapolation,,
Peru,2,SACA,6.4, [4.5 - 10.0] , 6.40 ,6.9, [4.9 - 10.8] , 6.90 ," 1,231.2 "," [868.4 - 1,934.8] "," 1,231.20 ", 492.8 ," [450.0 - 1,002.6] ", 492.80 , 540.1 , 954.7 ," 7,768.8 ", 0.3 ,0,SELECTED,Other,,
Puerto Rico,2,SACA,14.2, [11.7 - 17.0] , 14.20 ,12.1, [9.9 - 14.6] , 12.10 , 365.1 , [301.6 - 438.1] , 365.10 , 125.5 , [156.3 - 227.0] , 125.50 ,,,, 0.7 ,0,SELECTED,Other,,
Uruguay,2,SACA,6.9, [5.2 - 11.3] , 6.90 ,6.1, [4.6 - 9.9] , 6.10 , 157.6 , [118.6 - 258.3] , 157.60 , 54.2 , [61.5 - 133.8] , 54.20 ," 1,889.6 "," 2,263.9 "," 1,115.3 ", 0.4 ,0,NO DATA,Extrapolation,,
Venezuela [Bolivarian Republic of],2,SACA,11.1, [9.1 - 13.5] , 11.10 ,12.0, [9.9 - 14.5] , 12.00 ," 2,133.4 "," [1,752.8 - 2,587.6] "," 2,133.40 ", 733.4 ," [908.3 - 1,340.9] ", 733.40 , 766.2 , 967.0 ," 15,555.9 ", 0.1 ,0,NO DATA,Extrapolation,,
SEA,1,SEA,8.5, [6.79 - 10.84] , 8.50 ,9.1, [7.34 - 11.63] , 9.10 ," 78,290.7 "," [62,914.62 - 100,411.78] "," 78,290.70 "," 40,814.6 ",," 40,814.60 ", 92.9 , 318.5 ," 1,188,464.8 ", 81.4 ,,,,,
Bangladesh,2,SEA,7.4, [5.5 - 12.5] , 7.40 ,8.3, [6.3 - 13.8] , 8.30 ," 7,138.9 "," [5,319.3 - 12,009.6] "," 7,138.90 "," 3,689.8 "," [2,756.5 - 6,223.4] "," 3,689.80 ", 51.0 , 153.6 ," 129,312.9 ", NO DATA ,0,SELECTED,Other,,
Bhutan,2,SEA,7.9, [7.0 - 9.3] , 7.90 ,9.3, [8.4 - 10.8] , 9.30 , 38.4 , [34.2 - 45.3] , 38.40 , 19.8 , [17.7 - 23.5] , 19.80 , 141.1 , 433.3 , 176.8 , NO DATA ,0,NO DATA,Extrapolation,,
India,2,SEA,8.7, [7.0 - 10.6] , 8.70 ,9.3, [7.6 - 11.4] , 9.30 ," 69,188.6 "," [56,168.5 - 84,819.5] "," 69,188.60 "," 36,061.1 "," [29,106.5 - 43,953.5] "," 36,061.10 ", 94.9 , 331.9 ," 1,027,911.6 ", 70.2 ,3,SELECTED,OGTT,,
Maldives,2,SEA,7.5, [6.1 - 9.9] , 7.50 ,9.2, [7.3 - 12.0] , 9.20 , 17.1 , [13.8 - 22.6] , 17.10 , 8.8 , [7.2 - 11.7] , 8.80 ," 1,135.3 "," 1,984.5 ", 112.2 , 0.0 ,0,SELECTED,Other,,
Mauritius,2,SEA,24.3, [21.1 - 28.0] , 24.30 ,22.3, [19.2 - 25.9] , 22.30 , 220.0 , [191.3 - 253.7] , 220.00 , 113.1 , [99.1 - 131.5] , 113.10 , 500.2 , 934.3 ," 2,932.1 ", 0.0 ,1,SELECTED,OGTT,,
Nepal,2,SEA,3.3, [2.3 - 9.5] , 3.30 ,3.7, [2.5 - 9.9] , 3.70 , 526.0 ," [356.9 - 1,498.0] ", 526.00 , 326.7 , [185.0 - 776.3] , 326.70 , 68.5 , 236.2 ," 11,700.5 ", NO DATA ,1,SELECTED,OGTT,,
Sri Lanka,2,SEA,8.5, [6.1 - 12.9] , 8.50 ,8.0, [5.7 - 12.2] , 8.00 ," 1,161.7 "," [830.5 - 1,763.0] "," 1,161.70 ", 595.2 , [430.3 - 913.6] , 595.20 , 144.6 , 429.2 ," 16,318.7 ", NO DATA ,1,SELECTED,OGTT,,
WP,1,WP,9.3, [8.23 - 11.42] , 9.30 ,8.8, [7.72 - 10.84] , 8.80 ," 153,174.8 "," [135,319.54 - 187,681.58] "," 153,174.80 "," 79,829.7 ",," 79,829.70 ", 692.6 , 998.0 ," 1,910,363.9 ", 60.7 ,,,,,
Australia,2,WP,6.3, [4.9 - 7.6] , 6.30 ,5.1, [4.0 - 6.1] , 5.10 ," 1,079.6 "," [840.7 - 1,301.4] "," 1,079.60 ", 493.9 , [435.6 - 674.4] , 493.90 ," 7,652.1 "," 5,249.0 "," 6,342.3 ", 6.3 ,1,SELECTED,OGTT,,
Brunei Darussalam,2,WP,12.9, [10.6 - 15.8] , 12.90 ,13.7, [11.2 - 16.8] , 13.70 , 37.0 , [30.4 - 45.4] , 37.00 , 17.2 , [15.7 - 23.5] , 17.20 ," 1,329.0 "," 2,473.0 ", 282.1 , NO DATA ,0,NO DATA,Extrapolation,,
Cambodia,2,WP,2.6, [2.5 - 2.8] , 2.60 ,3.0, [2.9 - 3.4] , 3.00 , 230.8 , [221.0 - 252.3] , 230.80 , 145.1 , [114.5 - 130.7] , 145.10 , 134.5 , 406.0 ," 5,432.3 ", NO DATA ,0,SELECTED,Other,,
China,2,WP,10.6, [9.6 - 12.9] , 10.60 ,9.8, [8.9 - 12.1] , 9.80 ," 109,649.1 "," [99,641.2 - 133,417.4] "," 109,649.10 "," 57,813.6 "," [51,634.1 - 69,136.9] "," 57,813.60 ", 466.0 , 820.1 ," 1,299,670.8 ", 30.5 ,3,SELECTED,OGTT,,
"China, Hong Kong SAR",2,WP,10.2, [9.0 - 12.0] , 10.20 ,8.0, [7.0 - 9.6] , 8.00 , 582.5 , [515.8 - 686.5] , 582.50 , 273.5 , [267.3 - 355.7] , 273.50 ,,,, 0.1 ,2,SELECTED,OGTT,,
"China, Macao SAR",2,WP,8.5, [7.5 - 10.1] , 8.50 ,8.0, [7.0 - 9.6] , 8.00 , 39.9 , [35.3 - 47.5] , 39.90 , 18.6 , [18.3 - 24.6] , 18.60 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Cook Islands,2,WP,21.1, [12.7 - 26.7] , 21.10 ,21.5, [12.8 - 27.2] , 21.50 , 2.6 , [1.6 - 3.3] , 2.60 , 1.2 , [0.8 - 1.7] , 1.20 , 685.1 , 669.8 , 9.7 , NO DATA ,0,NO DATA,Extrapolation,,
Dem. People's Republic of Korea,2,WP,4.7, [4.5 - 5.2] , 4.70 ,4.4, [4.2 - 4.8] , 4.40 , 817.9 , [783.8 - 906.9] , 817.90 , 514.2 , [406.2 - 470.0] , 514.20 ,,," 19,466.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Fiji,2,WP,13.4, [8.9 - 19.7] , 13.40 ,13.8, [9.2 - 20.3] , 13.80 , 74.0 , [49.3 - 108.9] , 74.00 , 38.6 , [25.5 - 56.4] , 38.60 , 270.9 , 471.2 ," 1,203.2 ", 0.0 ,0,SELECTED,Other,,
French Polynesia,2,WP,19.6, [16.4 - 23.0] , 19.60 ,19.4, [16.3 - 22.8] , 19.40 , 37.7 , [31.6 - 44.3] , 37.70 , 17.6 , [16.4 - 23.0] , 17.60 ,,,, NO DATA ,0,SELECTED,Other,,
Guam,2,WP,19.7, [15.7 - 24.9] , 19.70 ,18.7, [14.9 - 23.9] , 18.70 , 21.5 , [17.2 - 27.2] , 21.50 , 10.0 , [8.9 - 14.1] , 10.00 ,,,, NO DATA ,0,SELECTED,Other,,
Indonesia,2,WP,6.2, [5.4 - 6.7] , 6.20 ,6.5, [5.7 - 7.1] , 6.50 ," 10,021.4 "," [8,736.6 - 10,882.8] "," 10,021.40 "," 5,286.2 "," [4,527.3 - 5,639.5] "," 5,286.20 ", 171.1 , 470.6 ," 184,985.4 ", NO DATA ,3,SELECTED,OGTT,,
Japan,2,WP,7.6, [6.5 - 10.1] , 7.60 ,5.7, [4.7 - 8.7] , 5.70 ," 7,202.2 "," [6,105.2 - 9,555.9] "," 7,202.20 "," 3,353.8 "," [3,163.7 - 4,951.8] "," 3,353.80 "," 4,084.5 "," 3,853.6 "," 61,076.0 ", 2.5 ,0,SELECTED,Other,,
Kiribati,2,WP,16.3, [12.1 - 21.2] , 16.30 ,18.6, [13.6 - 24.1] , 18.60 , 9.9 , [7.3 - 12.9] , 9.90 , 5.2 , [3.8 - 6.7] , 5.20 , 248.7 , 279.1 , 113.6 , NO DATA ,0,NO DATA,Extrapolation,,
Lao People's Democratic Republic,2,WP,2.9, [2.8 - 3.2] , 2.90 ,3.6, [3.5 - 4.0] , 3.60 , 106.4 , [101.8 - 116.5] , 106.40 , 66.9 , [52.8 - 60.3] , 66.90 , 59.7 , 175.2 ," 2,764.4 ", NO DATA ,0,NO DATA,Extrapolation,,
Malaysia,2,WP,16.6, [14.9 - 19.1] , 16.60 ,17.9, [16.2 - 20.5] , 17.90 ," 3,303.0 "," [2,969.0 - 3,801.9] "," 3,303.00 "," 1,716.2 "," [1,538.5 - 1,970.2] "," 1,716.20 ", 565.8 ," 1,253.8 "," 34,576.1 ", NO DATA ,1,SELECTED,OGTT,,
Marshall Islands,2,WP,21.1, [15.1 - 26.7] , 21.10 ,21.3, [15.0 - 27.0] , 21.30 , 6.7 , [4.8 - 8.4] , 6.70 , 3.5 , [2.5 - 4.4] , 3.50 , 832.6 , 928.5 , 169.1 , NO DATA ,0,NO DATA,Extrapolation,,
Micronesia [Fed. States of],2,WP,13.6, [10.4 - 18.5] , 13.60 ,16.3, [12.4 - 21.7] , 16.30 , 7.5 , [5.7 - 10.2] , 7.50 , 3.9 , [3.0 - 5.3] , 3.90 , 640.9 , 704.7 , 103.3 , NO DATA ,0,NO DATA,Extrapolation,,
Mongolia,2,WP,5.1, [1.7 - 9.2] , 5.10 ,5.4, [1.9 - 9.6] , 5.40 , 96.0 , [31.1 - 171.6] , 96.00 , 50.3 , [16.1 - 88.9] , 50.30 , 368.7 , 857.6 ," 2,254.4 ", NO DATA ,1,SELECTED,OGTT,,
Myanmar,2,WP,6.5, [4.9 - 9.2] , 6.50 ,6.8, [5.1 - 9.6] , 6.80 ," 2,172.9 "," [1,661.8 - 3,085.6] "," 2,172.90 "," 1,134.6 "," [861.2 - 1,599.0] "," 1,134.60 ", 23.0 , 58.6 ," 63,044.6 ", NO DATA ,1,SELECTED,OGTT,,
Nauru,2,WP,23.8, [16.5 - 29.4] , 23.80 ,24.1, [16.5 - 29.9] , 24.10 , 1.4 , [1.0 - 1.8] , 1.40 , 0.8 , [0.5 - 0.9] , 0.80 , 918.1 , 828.3 , 21.9 , NO DATA ,0,SELECTED,Other,,
New Caledonia,2,WP,20.3, [18.2 - 23.0] , 20.30 ,19.6, [17.6 - 22.1] , 19.60 , 36.5 , [32.6 - 41.2] , 36.50 , 17.0 , [16.9 - 21.4] , 17.00 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
New Zealand,2,WP,9.1, [7.6 - 10.8] , 9.10 ,7.3, [6.2 - 8.8] , 7.30 , 285.9 , [239.3 - 340.1] , 285.90 , 132.2 , [124.0 - 176.2] , 132.20 ," 4,961.7 "," 4,158.1 "," 1,778.2 ", 1.0 ,0,SELECTED,Other,,
Niue,2,WP,14.7, [8.3 - 23.7] , 14.70 ,14.9, [8.4 - 24.0] , 14.90 , 0.1 , [0.1 - 0.2] , 0.10 , 0.1 , [0.0 - 0.1] , 0.10 ," 1,792.5 "," 1,362.3 ", 0.7 , NO DATA ,0,NO DATA,Extrapolation,,
Palau,2,WP,20.8, [10.7 - 35.6] , 20.80 ,20.9, [10.5 - 35.9] , 20.90 , 2.6 , [1.4 - 4.5] , 2.60 , 1.4 , [0.7 - 2.3] , 1.40 ," 1,300.6 "," 1,663.5 ", 25.2 , NO DATA ,0,NO DATA,Extrapolation,,
Papua New Guinea,2,WP,12.9, [10.1 - 17.6] , 12.90 ,15.3, [11.9 - 20.7] , 15.30 , 507.9 , [400.0 - 694.0] , 507.90 , 265.2 , [207.3 - 359.6] , 265.20 , 117.9 , 143.3 ," 9,176.8 ", 0.0 ,0,NO DATA,Extrapolation,,
Philippines,2,WP,6.1, [4.7 - 7.9] , 6.10 ,6.9, [5.3 - 8.9] , 6.90 ," 3,506.5 "," [2,702.3 - 4,584.6] "," 3,506.50 "," 1,840.6 "," [1,400.3 - 2,375.8] "," 1,840.60 ", 204.2 , 482.6 ," 51,127.3 ", NO DATA ,1,SELECTED,OGTT,,
Republic of Korea,2,WP,8.7, [6.9 - 11.2] , 8.70 ,7.2, [5.6 - 9.5] , 7.20 ," 3,369.0 "," [2,666.9 - 4,334.7] "," 3,369.00 "," 1,559.0 "," [1,382.0 - 2,246.2] "," 1,559.00 "," 2,294.2 "," 2,926.8 "," 31,898.3 ", 0.4 ,0,SELECTED,Other,,
Samoa,2,WP,7.2, [5.2 - 16.9] , 7.20 ,7.9, [5.6 - 17.9] , 7.90 , 7.1 , [5.2 - 16.6] , 7.10 , 3.7 , [2.7 - 8.6] , 3.70 , 471.8 , 661.4 , 152.4 , NO DATA ,1,SELECTED,OGTT,,
Singapore,2,WP,12.8, [11.0 - 14.5] , 12.80 ,10.5, [9.0 - 12.1] , 10.50 , 541.6 , [466.4 - 613.3] , 541.60 , 253.8 , [241.7 - 317.8] , 253.80 ," 2,932.9 "," 4,185.1 "," 3,815.3 ", 0.2 ,2,SELECTED,OGTT,,
Solomon Islands,2,WP,13.6, [8.7 - 20.0] , 13.60 ,16.4, [10.3 - 23.9] , 16.40 , 39.2 , [25.1 - 57.4] , 39.20 , 20.4 , [13.0 - 29.8] , 20.40 , 160.1 , 169.6 , 457.2 , NO DATA ,0,SELECTED,Other,,
Taiwan,2,WP,10.0, [7.8 - 12.9] , 10.00 ,8.4, [6.5 - 11.0] , 8.40 ," 1,781.1 "," [1,386.6 - 2,293.8] "," 1,781.10 ", 828.3 ," [718.6 - 1,188.7] ", 828.30 ,,,, 1.3 ,0,SELECTED,Other,,
Thailand,2,WP,8.0, [5.9 - 9.3] , 8.00 ,7.1, [5.3 - 8.2] , 7.10 ," 4,025.1 "," [2,965.6 - 4,633.2] "," 4,025.10 "," 2,077.9 "," [1,536.8 - 2,400.9] "," 2,077.90 ", 350.7 , 873.2 ," 75,994.5 ", 0.4 ,0,SELECTED,Other,,
Timor-Leste,2,WP,6.3, [5.8 - 6.9] , 6.30 ,7.2, [6.6 - 7.9] , 7.20 , 34.5 , [31.8 - 38.0] , 34.50 , 18.0 , [16.5 - 19.7] , 18.00 , 112.1 , 183.0 , 587.7 , NO DATA ,0,NO DATA,Extrapolation,,
Tokelau,2,WP,29.7, [8.3 - 37.7] , 29.70 ,30.0, [8.4 - 38.3] , 30.00 , 0.2 , [0.1 - 0.3] , 0.20 , 0.1 , [0.0 - 0.1] , 0.10 ,,,, NO DATA ,0,SELECTED,Other,,
Tonga,2,WP,12.6, [10.2 - 19.8] , 12.60 ,13.7, [11.1 - 21.3] , 13.70 , 6.8 , [5.5 - 10.7] , 6.80 , 3.6 , [2.9 - 5.6] , 3.60 , 315.5 , 387.4 , 103.1 , NO DATA ,1,SELECTED,OGTT,,
Tuvalu,2,WP,17.0, [9.1 - 28.3] , 17.00 ,17.3, [9.2 - 28.8] , 17.30 , 1.0 , [0.5 - 1.7] , 1.00 , 0.5 , [0.3 - 0.9] , 0.50 , 951.0 , 890.9 , 15.5 , NO DATA ,0,NO DATA,Extrapolation,,
Vanuatu,2,WP,14.4, [11.0 - 19.4] , 14.40 ,16.6, [12.6 - 22.1] , 16.60 , 20.3 , [15.4 - 27.3] , 20.30 , 10.6 , [8.0 - 14.1] , 10.60 , 189.3 , 177.0 , 258.5 , NO DATA ,0,NO DATA,Extrapolation,,
Viet Nam,2,WP,5.6, [4.1 - 8.7] , 5.60 ,6.0, [4.4 - 9.4] , 6.00 ," 3,509.1 "," [2,582.5 - 5,501.2] "," 3,509.10 "," 1,832.4 "," [1,338.3 - 2,850.7] "," 1,832.40 ", 162.7 , 451.1 ," 53,457.8 ", NO DATA ,1,SELECTED,OGTT,,
,,,,,,,,,,,,,,,,,,,,,,,
"* -Other include 'Fasting blood glucose', 'Self-reported', 'Medical record or clinical
diagnosis', and 'HbA1c' ",,,,,,,,,,,,,,,,,,,,,,,
