Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Zambia,2,AFR,3.1, [1.9 - 5.2] , 3.10 ,4.1, [2.6 - 6.7] , 4.10 , 218.2 , [132.9 - 361.8] , 218.20 , 132.5 , [68.9 - 187.5] , 132.50 , 186.6 , 385.5 ," 8,282.5 ", 0.4 ,0,NO DATA,Extrapolation,,
Zimbabwe,2,AFR,2.9, [1.7 - 4.7] , 2.90 ,3.9, [2.5 - 6.2] , 3.90 , 209.8 , [123.5 - 345.4] , 209.80 , 149.7 , [64.0 - 179.0] , 149.70 ,,," 6,956.3 ", NO DATA ,0,NO DATA,Extrapolation,,
EUR,1,EUR,9.1, [6.83 - 12.97] , 9.10 ,7.3, [5.46 - 10.93] , 7.30 ," 59,800.9 "," [45,082.22 - 85,563.76] "," 59,800.90 "," 23,523.4 ",," 23,523.40 "," 2,609.8 "," 2,821.3 "," 627,133.1 ", 140.3 ,,,,,
Albania,2,EUR,12.0, [10.5 - 13.6] , 12.00 ,10.3, [9.0 - 11.8] , 10.30 , 243.6 , [213.2 - 275.6] , 243.60 , 105.7 , [110.5 - 142.8] , 105.70 , 304.0 , 684.3 ," 2,908.0 ", NO DATA ,0,NO DATA,Extrapolation,,
Andorra,2,EUR,11.9, [10.2 - 15.4] , 11.90 ,8.5, [7.3 - 11.6] , 8.50 , 6.2 , [5.4 - 8.1] , 6.20 , 2.4 , [2.8 - 4.2] , 2.40 ," 3,156.3 "," 3,573.9 ", 44.5 , NO DATA ,0,NO DATA,Extrapolation,,
Armenia,2,EUR,7.2, [4.8 - 13.4] , 7.20 ,6.4, [4.3 - 12.3] , 6.40 , 158.0 , [106.2 - 294.8] , 158.00 , 68.6 , [55.1 - 152.8] , 68.60 , 195.6 , 433.2 ," 2,178.2 ", 0.2 ,0,NO DATA,Extrapolation,,
Austria,2,EUR,9.5, [8.1 - 10.8] , 9.50 ,6.9, [5.9 - 8.0] , 6.90 , 611.4 , [518.9 - 697.9] , 611.40 , 230.8 , [268.9 - 361.7] , 230.80 ," 6,080.5 "," 5,472.6 "," 4,499.3 ", 1.5 ,0,SELECTED,Other,,
Azerbaijan,2,EUR,6.3, [4.3 - 11.8] , 6.30 ,6.5, [4.4 - 12.2] , 6.50 , 428.6 , [291.8 - 801.8] , 428.60 , 186.0 , [151.2 - 415.5] , 186.00 , 601.5 ," 1,319.6 "," 5,033.1 ", NO DATA ,0,NO DATA,Extrapolation,,
Belarus,2,EUR,6.5, [5.6 - 13.5] , 6.50 ,5.3, [4.5 - 13.1] , 5.30 , 467.6 , [402.4 - 970.0] , 467.60 , 203.0 , [208.5 - 502.7] , 203.00 , 583.0 ," 1,361.9 "," 7,699.9 ", 0.5 ,0,NO DATA,Extrapolation,,
Belgium,2,EUR,6.7, [5.9 - 8.5] , 6.70 ,5.1, [4.4 - 6.4] , 5.10 , 543.1 , [481.2 - 688.4] , 543.10 , 205.1 , [249.3 - 356.7] , 205.10 ," 6,114.6 "," 5,434.4 "," 4,269.3 ", 1.9 ,0,SELECTED,Other,,
Bosnia and Herzegovina,2,EUR,12.3, [10.9 - 13.9] , 12.30 ,9.9, [8.6 - 11.2] , 9.90 , 363.6 , [319.8 - 409.9] , 363.60 , 157.8 , [165.7 - 212.4] , 157.80 , 520.4 ," 1,076.6 "," 3,501.5 ", 0.3 ,0,NO DATA,Extrapolation,,
